smiles	Hansch pi	Hammett sigma p
[R]c1cccc2OCOc12	1.662	-0.031
[R]C(=O)C1CC1c2ccccc2	2.773	0.421
[R]C(=O)C=Cc1ccco1	0.53	0.352
[R]Nc2cc(C1CC1)n[nH]2	0.619	-0.316
[R]C(=O)COc1ccc(Cl)cc1	2.56	0.603
[R]n1c(C)nc2ccccc12	1.322	0.19
[R]NC(=O)c1cccc(F)c1	1.141	-0.25
[R]C=c1sc(=S)[nH]c1=O	1.069	0.646
[R]NC(=O)C1CCC1	0.172	-0.292
[R]C1=NCCS1	0.607	0.288
[R]NC(=O)Nc1cccc(Cl)c1	1.264	-0.264
[R]C(=O)NC(CCCCN)C(O)=O	-0.781	0.404
[R]N(C)S(=O)(=O)c1ccccc1	1.382	-0.235
[R]Cc1ccccc1Br	3.166	-0.112
[R]C=CCN(C)C	0.712	-0.071
[R]CCc1ccc(Cl)cc1Cl	3.806	-0.058
[R]CCc1ccc(C)cc1	3.237	-0.106
[R]N2C(=O)c1ccccc1S2(=O)=O	0.823	0.094
[R]c1csnn1	0.545	0.238
[R]Cc1cccc(O)c1	2.089	-0.082
[R]NC(=O)CCN	-1.633	-0.278
[R]C(=O)Nc1cccc(C)n1	0.612	0.416
[R]C(CO)C(C)C	1.139	-0.069
[R]C(=O)NN1CCCCC1	0.411	0.378
[R]c2nc1ccc(C)cc1s2	2.871	0.288
[R]C(=O)C(N)CCCCN	-0.06	0.51
[R]CC(O)c1cccc(Cl)c1	2.375	-0.076
[R]Nc1ccc(F)c(F)c1	1.77	-0.247
[R]CCc1cccs1	1.777	-0.079
[R]c1csc(N)n1	0.524	0.048
[R]c1ncc(C(=O)NO)cn1	-0.461	0.375
[R]c2nc1cc(C(N)=O)ccc1[nH]2	0.194	0.38
[R]C(=O)c1cccc(Br)c1	2.306	0.518
[R]C(=O)Nc1cccc(C#N)c1	1.091	0.524
[R]NCC(O)c1cccc(Cl)c1	1.592	-0.576
[R]C(C(C)O)C(N)=O	-0.968	0.003
[R]CCCOc1ccccc1	2.465	-0.055
[R]CC(N)Cc1ccccc1	1.761	-0.218
[R]CC1CCCN1CC	1.17	-0.134
[R]c2ccc(n1cccn1)cc2	1.593	0.029
[R]CCCl	1.156	0.022
[R]C(P(O)(O)=O)P(O)(O)=O	0.008	0.193
[R]C(=O)c1ccc(Cl)cn1	1.12	0.432
[R]C(F)(F)C(F)F	1.292	0.458
[R]c2ccnc(NC(=O)C1CC1)c2	0.9	0.124
[R]Cc1ccc(N)cc1	1.591	-0.169
[R]S(=O)(=O)N1CCC(C)CC1	0.753	0.54
[R]Nc1c(C)cccc1Cl	2.477	-0.55
[R]c2ccc(N1CCOCC1)nc2	1.286	0.011
[R]c1nc(=O)o[nH]1	0.249	0.728
[R]c2ccc(N1CCNCC1)cc2	1.682	-0.088
[R]NC(C(C)O)C(N)=O	-1.488	-0.531
[R]NC(=O)N1CCOCC1	-1.032	-0.338
[R]Nc1ccc(Br)cc1F	2.423	-0.237
[R]C(=O)Nc1cccc(C)c1C	1.989	0.44
[R]N1CCC2(CC1)OCCO2	0.746	-0.672
[R]Cc1cccc(I)c1	3.631	-0.063
[R]C(=O)NC(C(C)O)C(N)=O	-1.785	0.399
[R]C(=O)C2Cc1ccccc1CN2	1.997	0.486
[R]C(=O)C=CCN(C)C	1.186	0.358
[R]NC2C1CC3CC(C1)CC2C3	1.714	-0.663
[R]NC(=O)COC	-1.189	-0.28
[R]Nc2nc1ccccc1[nH]2	1.272	-0.137
[R]Nc1ccccc1C(F)(F)F	2.374	-0.232
[R]c2nc1CCN(C)Cc1s2	0.702	0.133
[R]c1ccncc1F	0.805	0.151
[R]CCCCCC(O)=O	1.509	-0.106
[R]NC(=O)CCC(O)=O	-1.119	-0.235
[R]C1COCCO1	-0.236	0.038
[R]c1ccc(C(=O)NC)cc1	1.058	0.094
[R]NC(=O)c1ccc(Cl)cn1	0.607	-0.242
[R]c1cccc(SC)c1	2.068	0
[R]Oc1ccc(C(O)=O)cc1	1.367	0.022
[R]C(=O)NCC=C	0.114	0.367
[R]c1ccc(CC(C)C)cc1	3.568	-0.047
[R]c1cc(C)ccc1n2nccn2	1.846	-0.017
[R]NCCN1CCCCC1	0.371	-0.634
[R]c1ccc(O)c(NS(C)(=O)=O)c1	0.936	0.04
[R]c1ccc(OCC(O)=O)c(C)c1	1.734	-0.05
[R]CC=CCCCC(O)=O	1.645	-0.109
[R]CCCCC(=O)NO	0.734	-0.096
[R]c2nc(c1ccccc1)no2	2.242	0.416
[R]Oc1cccc(C(F)(F)F)c1	2.552	0.011
[R]Oc1ccc(N(=O)=O)cc1	1.622	0.151
[R]NCc1ccc(Cl)c(Cl)c1	2.483	-0.549
[R]N1C(C)Cc2ccccc12	2.133	-0.446
[R]Nc1cccc(CC)c1	2.355	-0.4
[R]CC(=O)Nc1cccc(OC)c1	0.735	-0.079
[R]Oc1cccc(F)c1	1.808	-0.023
[R]N1CCCCC1=O	-0.126	-0.343
[R]c1ncnc2ccccc12	1.822	0.369
[R]Oc1ccc(O)cc1	1.384	-0.065
[R]SC(C)C	1.086	-0.055
[R]C(=S)Nc1ccccc1	1.789	0.692
[R]NC(=O)Nc1ccc(OC)cc1	0.493	-0.299
[R]c1cc(Br)ccc1O	2.485	0.057
[R]N(CC)CCCC	1.582	-0.671
[R]c1ccc(OC)cc1C	2.192	-0.098
[R]c1cc(F)c(F)c(F)c1	2.396	0.225
[R]c1ccnc2cc(Cl)ccc12	2.585	0.209
[R]COc1ccc(F)cc1	1.956	0.068
[R]C1CC2CCC(C1)N2C	1.14	-0.153
[R]Nc1cccc(C(=O)NC)c1	0.571	-0.326
[R]C(=O)N1CCCC1C(N)=O	-1.183	0.333
[R]OCCCC(F)(F)F	1.456	-0.183
[R]C(CC(C)C)NC(C)=O	0.845	0.068
[R]n1cc(C)c(=O)[nH]c1=O	-0.638	0.034
[R]c1cccc2OCCOc12	1.294	-0.098
[R]C(=O)N1CCN(C(C)=O)CC1	-1.276	0.423
[R]n1ncc2cc(C#N)cnc12	0.744	0.086
[R]C(=O)CCCc1ccccc1	3.177	0.469
[R]N1CC(C)CC(C)C1	1.559	-0.68
[R]CC1CCC(C(O)=O)CC1	1.898	-0.142
[R]CCc1c[nH]cn1	-0.054	-0.174
[R]N1CCNC1=O	-0.867	-0.33
[R]N(C)C(C)=O	-0.665	-0.18
[R]C(=O)Nc1ccc(C)c(Cl)c1	2.04	0.481
[R]C1(C)COC1	0.459	-0.049
[R]C(=O)NC(C)c1ccc(F)cc1	1.702	0.396
[R]Cc1ccc(OC)c(Cl)c1	2.639	-0.09
[R]CC1CCCN1	0.466	-0.156
[R]c1cccc(OC)c1O	1.44	-0.02
[R]Oc1c(C)cccc1C	2.603	-0.223
[R]OCC1CCCCC1	1.886	-0.277
[R]N1CC2CC1CO2	-0.295	-0.598
[R]c1nnn(C)n1	0.286	0.222
[R]NCCc1ccc(F)cc1	1.838	-0.601
[R]NC(CO)C(C)C	0.512	-0.647
[R]c1c(N)nc(N)nc1CC	0.456	-0.142
[R]NC=O	-0.782	-0.264
[R]CN(O)C=O	-0.033	0.151
[R]C1SC(=O)NC1=O	-0.138	0.272
[R]NC(=O)c1ccc(Cl)c(Cl)c1	2.038	-0.22
[R]Nc1ncccn1	0.038	-0.356
[R]C(=O)c2nc1ccccc1s2	1.94	0.481
[R]Cc1ccc(I)cc1	3.631	-0.052
[R]C1(C)CS(=O)(=O)N(C)C(=N)N1	-0.73	0.114
[R]c1ccc(O)c2[nH]c(=O)ccc12	0.954	0.181
[R]CC1COCCO1	0.016	-0.11
[R]c1nc(C(O)=O)cs1	0.701	0.225
[R]NC1CCC(C)CC1	1.586	-0.66
[R]c1cccc(C(F)(F)F)n1	2.347	0.304
[R]Nc1ccc(C(N)=N)cc1	0.496	-0.33
[R]CCc1ccc(Cl)c(Cl)c1	3.806	-0.035
[R]c1cncc(C)c1	1.133	0.062
[R]C(=O)N=C(N)N	-0.975	0.187
[R]NC1CCNC1	-0.767	-0.595
[R]c1cc(CC(O)=O)ccc1OC	1.356	-0.136
[R]Nc1cc(C)ccc1F	2.098	-0.334
[R]NC(=O)NCc1ccccc1	0.841	-0.359
[R]C(C(C)C)C(N)=O	0.348	-0.115
[R]NCC(O)c1ccccc1	1.074	-0.604
[R]C(N)CCCN=C(N)N	-1.079	-0.109
[R]NCc1c(C)cc(C)[nH]c1=O	-0.055	-0.71
[R]OCCCc1ccccc1	2.412	-0.259
[R]NC(=O)c1cccc(N(=O)=O)c1	0.955	-0.171
[R]C=CC	1.293	-0.082
[R]C(=O)c2cc1ccccc1s2	2.387	0.439
[R]CNC(C)(C)C	0.652	-0.11
[R]ON(=O)=O	0.464	0.537
[R]c1ccc(F)cc1OC	1.864	-0.093
[R]C(=O)Nc1ccccc1CC	1.918	0.451
[R]N1CCCNCC1	-0.476	-0.691
[R]Cc2ccc1ncccc1c2	2.463	-0.066
[R]NCCc1ccccn1	0.467	-0.655
[R]C(C(O)=O)c1ccccc1	1.704	-0.009
[R]c1cnccc1C	1.133	0.056
[R]Nc1cc(C)ccc1OC	1.706	-0.443
[R]C1CCc2ccccc12	2.667	-0.104
[R]OCCCN1CCN(C)CC1	-0.18	-0.258
[R]NC(CC)CC	1.363	-0.652
[R]C(=O)C(N)CCCN=C(N)N	-0.73	0.44
[R]C1CCC(CC(O)=O)CC1	1.666	-0.122
[R]CC(=O)c1ccc(Cl)cc1	1.965	-0.068
[R]Cc1cccc(Cl)c1Cl	3.41	-0.072
[R]C(=O)Nc1cc(Cl)ccc1OC	1.32	0.443
[R]C1CCC(CN)CC1	1.08	-0.126
[R]C(=O)NCCCCCC	1.373	0.36
[R]NCC1CCCN1CC	0.388	-0.698
[R]Nc1c(Cl)cccc1Cl	2.527	-0.517
[R]c1cc(Cl)ccc1n2cnnn2	1.684	0.189
[R]n1c(=O)[nH]c2ccccc12	0.403	0.054
[R]NC(C(C)C)C(N)=O	-0.244	-0.566
[R]c2ccc(OCC1CC1)cc2	2.435	-0.08
[R]Cn1nnc2ccccc12	1.357	0.171
[R]NCc1ccccc1F	1.586	-0.618
[R]N1CCCC(C(=O)OCC)C1	0.602	-0.593
[R]c1cccc(CN)c1	1.095	-0.046
[R]Cc1ccc(N(C)C)cc1	2.638	-0.179
[R]c1cc(OC)c(O)c(OC)c1	1.188	0.035
[R]C(CCCC)NC(C)=O	0.911	-0.142
[R]n1nc(C)c(CC(O)=O)c1C	-0.167	0.09
[R]N1CCC(N)C1	-0.814	-0.667
[R]CCC(C)(C(=O)NO)S(C)(=O)=O	-0.258	-0.028
[R]OCOC	0.19	-0.266
[R]Sc2nc1ccccc1[nH]2	1.793	0
[R]c1ccc(O)c(F)c1	1.833	0.081
[R]Cc1cc(C)cc(C)c1	3.308	-0.125
[R]C(C)(C(=O)NO)S(C)(=O)=O	-0.906	0.227
[R]c1c(O)ccc2ccccc12	2.695	-0.036
[R]C=Cc1ccc(F)cc1	2.649	0.027
[R]C(C)CCC	2.28	-0.133
[R]SCC(=O)NCc1ccco1	-0.735	-0.003
[R]N1CCCC(O)C1	-0.015	-0.628
[R]c1ccc(OC)c(OC)c1OC	1.219	-0.099
[R]Cn1nc(C)c(CC(O)=O)c1C	-0.019	0.072
[R]n1c(=O)oc2ccccc12	0.58	0.151
[R]c1cc(C)c(Cl)c(C)c1	3.43	0.027
[R]c2cnc1nc(N)nc(N)c1n2	-0.301	0.125
[R]Oc1cccc(C(N)=N)c1	0.674	-0.065
[R]NS(=O)(=O)C(C)C	0.095	-0.144
[R]Oc1cccc2[nH]ccc12	0.977	-0.137
[R]NC(CC(O)=O)C(O)=O	-0.87	-0.555
[R]SCC(N)=O	-0.993	0
[R]CC(=O)N1CCc2ccccc12	1.216	-0.085
[R]NCCCN	-1.068	-0.623
[R]NC(=O)Cc1cccs1	0.405	-0.283
[R]OC(C)C(O)=O	0.066	-0.128
[R]c2cc(c1ccccc1)no2	2.33	0.274
[R]C(=O)Nc1cc(C)ccc1F	1.662	0.467
[R]c1cc(C(C)C)c(O)cc1O	2.603	-0.039
[R]c1cc(F)c(O)c(Cl)c1	2.351	0.168
[R]C(=O)NCCN(CC)CC	0.037	0.367
[R]Nc1ccc(OC)c(Cl)c1	1.757	-0.349
[R]C(=O)C(CC(C)C)NC(C)=O	1.195	0.45
[R]CNCc1ccccc1	1.595	-0.084
[R]C1CCCCC1C	2.502	-0.136
[R]c1ccc(NC(=O)NCC)cc1	1.144	-0.098
[R]C=Cc1ccc(O)cc1	2.225	-0.001
[R]C(=O)c1cc(C)cc(C)c1	2.449	0.442
[R]C(=O)C=Cc1ccc(OC)cc1	1.794	0.352
[R]NCC(=O)OCC	-0.414	-0.516
[R]c1ccccc1S(=O)(=O)C(C)C	1.878	0.162
[R]c1cn(C)nc1C	0.257	-0.239
[R]C(=O)NC(C(C)C)C(N)=O	-0.541	0.371
[R]Nc1ccc(C)cn1	1.345	-0.304
[R]N(C)CCCC	1.239	-0.661
[R]NC1CCS(=O)(=O)C1	-1.053	-0.455
[R]CCCCCN	0.851	-0.126
[R]Oc1ccc(C(C)(C)C)cc1	3.296	-0.109
[R]CC(=O)c1ccc(OC)cc1	1.194	-0.115
[R]C(=O)C(CCCC)NC(C)=O	1.261	0.453
[R]CCc1cccnc1	1.458	-0.057
[R]C=Cc1cccnc1	1.198	0.051
[R]c1cc(F)cc(C(F)(F)F)c1	3	0.197
[R]CC(=O)C(C)(C)C	2.327	-0.112
[R]c1ccc(C(N)=N)cc1F	1.122	0.068
[R]CC1CCOC1	0.601	-0.049
[R]SCC(=O)Nc1cc(C)on1	-0.325	0.054
[R]c1ncccc1Cl	1.583	0.185
[R]C(F)(C(F)(F)F)C(F)(F)F	2.117	0.549
[R]Cc2nc1ccccc1s2	2.456	-0.019
[R]c1ccc(I)cc1F	3.374	0.097
[R]c2ccc1cc[nH]c1c2	1.286	-0.06
[R]C=Cc1ccc(O)c(O)c1	1.941	0.027
[R]C(=O)NC(N)=N	-0.975	0.431
[R]OCc1c(F)cccc1F	2.043	-0.239
[R]CC1CCN(C)CC1	1.069	-0.128
[R]c1ccc(CCCCC)cc1	4.03	-0.047
[R]c1ncnc(N)c1C#N	0.372	0.38
[R]Cc1cc(Cl)cc(Cl)c1	3.41	-0.011
[R]c1ccc(C(F)(F)F)c(F)c1	3	0.225
[R]Nc1ccc(I)cc1F	2.888	-0.237
[R]C(=O)CCCCCCC(=O)NO	1.537	0.462
[R]c1ccc(C=CC(O)=O)cc1	2.208	0.087
[R]NCC23CC1CC(CC(C1)C2)C3	2.058	-0.658
[R]C(N)Cc1c[nH]cn1	-1.17	-0.122
[R]C(=O)COc1ccccc1C	2.509	0.568
[R]C(=O)NC(CC(O)=O)C(O)=O	-1.167	0.377
[R]NC(=O)C(CC(C)C)NC(C)=O	-0.255	-0.342
[R]Nc1nnc(C)s1	0.787	-0.266
[R]NCC(C)O	-0.36	-0.656
[R]C(C)C(=O)NO	0.108	-0.06
[R]C1CC(F)(F)C1	1.129	0.034
[R]N(CCC)CC1CC1	1.553	-0.661
[R]NC(=O)C(CCCC)NC(C)=O	-0.189	-0.337
[R]C(=O)Nc1ccc(C#N)cc1	1.091	0.529
[R]NC(=O)Nc1ccc(F)cc1	0.885	-0.261
[R]NCc1ccccc1C	1.914	-0.629
[R]C(=O)Cc1ccc(F)cc1	2.523	0.511
[R]C2(C(F)F)N=C(N)OC1CC12	0.058	0.015
[R]C(=O)C(N)Cc1c[nH]cn1	-0.82	0.412
[R]OCC1CCCO1	0.218	-0.273
[R]CC1CC1(F)F	1.301	0
[R]C1CCCN(C)C1	0.745	-0.09
[R]CNS(C)(=O)=O	-0.513	0.089
[R]NC(=O)c1ccc(N(=O)=O)cc1	0.955	-0.144
[R]CCc1ccccc1OC	2.517	-0.152
[R]C(=O)NCCCn1ccnc1	-1.218	0.424
[R]CCCCCCC(O)=O	1.905	-0.11
[R]N(O)C(N)=O	-0.697	-0.199
[R]COc1cccc(C)c1	2.284	0.027
[R]c1ccccn1=O	-0.008	0.1
[R]c1cc[nH]c(=O)c1	0.007	0.144
[R]c1cc(O)c(O)c(O)c1	1.124	0.083
[R]C(=O)N1CCC(F)C1	-0.275	0.405
[R]SC(C)(C)C	1.164	-0.066
[R]N1CCSC1	0.499	-0.493
[R]OCc1ccccc1Cl	2.282	-0.216
[R]NCc1cccc(C(F)(F)F)c1	2.33	-0.554
[R]C(=O)NOC	-0.356	0.447
[R]CCCC1CCCCC1	3.361	-0.131
[R]C=C(C)C	1.446	-0.104
[R]CC1=NCCN1	-0.454	-0.182
[R]c1cccnc1OC	1.111	-0.087
[R]c1cc(C)nc(C)c1	1.007	0.086
[R]c1cccc2ccc(C)nc12	2.237	-0.095
[R]OCCC(C)C	1.525	-0.277
[R]c2cnn(C1CCNCC1)c2	-0.299	-0.205
[R]NCCCCc1ccccc1	2.491	-0.634
[R]NCc1ccc(F)c(F)c1	1.726	-0.542
[R]C2(c1ccc(Cl)cc1)CCC2	3.548	-0.054
[R]Cc1cccc(C(F)(F)F)c1Cl	3.775	-0.042
[R]S(=O)(=O)Nc1ccncn1	-0.093	0.565
[R]c1ncc(C(F)(F)F)c(NC)n1	1.374	0.325
[R]C(=O)N1CCN(C(C)C)CC1	0.177	0.36
[R]Oc2ccc1[nH]ccc1c2	0.977	-0.161
[R]OC(C)C(F)(F)F	1.375	-0.069
[R]NC(=O)Nc1ccc(C)cc1	1.213	-0.299
[R]CC1CCCN1C	0.828	-0.129
[R]C(=O)c1ccccc1C(O)=O	1.213	0.367
[R]c2ccc1ncnn1c2	1.025	0.144
[R]c1ccccc1C(C)(C)C	3.605	-0.044
[R]Cc1cccc(C)n1	1.168	-0.139
[R]NC(=O)C1CCCC1	0.568	-0.302
[R]c1cncc(Br)c1	1.457	0.147
[R]c1ccc(N(=O)=O)s1	2.101	0.603
[R]n1ccnc1C	-0.308	0.105
[R]CCCN1CCCC1=O	0.274	-0.115
[R]C(=O)c1ccc(C)o1	-0.001	0.397
[R]C(=O)NCC1CCCN1CC	0.091	0.333
[R]C1C(O)C(O)C2(C(=O)NC)CC12	-1.027	-0.136
[R]C=Cc1ccc(OC)c(OC)c1	2.004	-0.031
[R]NCc1ccc(OC)c(OC)c1	0.942	-0.626
[R]C(=O)c1c(Cl)cccc1Cl	2.55	0.48
[R]NC(=O)C1CCCN1	-0.886	-0.258
[R]c1ccc(F)cc1C(F)(F)F	3	0.155
[R]CCc1cccc(OC)c1	2.517	-0.096
[R]c2cc(C)c1[nH]ncc1c2	1.538	-0.066
[R]NS(=O)(=O)c1cn(C)cn1	-0.793	-0.186
[R]CCCC(=O)c1ccc(F)cc1	2.379	-0.098
[R]N1CCC(CO)CC1	0.009	-0.682
[R]c1cccc(OC(C)C)c1	2.48	0
[R]c1ccc(F)c(F)c1F	2.396	0.143
[R]c2ccc1[nH]ccc1c2C	1.753	-0.145
[R]C(=O)Nc1ccc(N(=O)=O)cc1	1.008	0.598
[R]c2ccc1ccc(=O)oc1c2	1.416	0.165
[R]C(C)=CC(O)=O	0.677	0.272
[R]C(CCC)CCC	3.072	-0.142
[R]Cc1cccc(OC(F)(F)F)c1	3.866	-0.047
[R]C(=O)N1C(C)Cc2ccccc12	1.696	0.432
[R]S(=O)(=O)Nc1c(C)nn(C)c1C	-0.556	0.534
[R]NC#N	-0.104	-0.171
[R]c1ccccc1CN(C)C	1.864	-0.115
[R]Cc1ccc(C)cn1	1.464	-0.136
[R]Cc1ccc(C)cc1C	3.308	-0.126
[R]C(=O)Nc1nnc(C)s1	0.351	0.541
[R]Nc2ccc1[nH]ccc1c2C	1.267	-0.474
[R]c1nncn1C	0	0.301
[R]c1cncc(OC)c1	0.413	0.092
[R]Oc1cc(C)c(Cl)c(C)c1	3.121	-0.049
[R]C(=O)NCC1CCCCC1	1.272	0.356
[R]Cc1cc(C)ccc1C	3.308	-0.125
[R]C1CCC(N)C(F)CO1	-0.057	-0.031
[R]OC1CCNCC1	-0.398	-0.273
[R]c2ccc1nc(C)sc1c2	2.354	0.048
[R]Nc1cccc(S(N)(=O)=O)c1	0.344	-0.261
[R]c2cc(Cl)c1OCCCOc1c2	1.864	0.095
[R]C(=O)N1CCSC1	0.087	0.443
[R]NCCCOCC	-0.1	-0.609
[R]C(C)C1CC1	1.71	-0.128
[R]C(=O)c1cccn1C	0.067	0.372
[R]c1ccc(OC)c(C)c1	2.192	-0.095
[R]OCc1cccnc1	0.452	-0.205
[R]CNC(=O)CO	-1.319	0.117
[R]OCC(=O)OC	-0.439	-0.123
[R]c1cccc(C(=O)N(C)C)c1O	1.02	-0.006
[R]SCC(=O)N1CCOCC1	-0.842	0.007
[R]c1c[nH]c2ccc(Cl)cc12	1.804	-0.164
[R]S(=O)(=O)Nc1ccccc1	1.164	0.598
[R]c1cccc(C(=O)OCC)c1	2.05	0.024
[R]NCc1ccc(CN)cc1	0.564	-0.628
[R]NC1CN2CCC1CC2	-0.037	-0.617
[R]c1ccnnc1	0.214	0.25
[R]Nc1cccc(Cl)c1Cl	2.527	-0.253
[R]CNC(=O)OC(C)(C)C	0.696	0.128
[R]c1ccc(OC(C)C)c(F)c1	2.62	-0.012
[R]Nc2nc1ccc(OC)cc1s2	1.97	-0.334
[R]C(=O)CCCCCCC	3.148	0.458
[R]Nc2nc(c1ccccc1)cs2	2.506	-0.172
[R]C(=O)NCc1ccc(Cl)cc1Cl	2.186	0.385
[R]Nc1ncc(C(=O)NO)cn1	-0.642	-0.223
[R]C1CCN(CC)CC1	1.015	-0.131
[R]Cc1ccc(SC)cc1	2.464	-0.093
[R]c1ccc(C)c(N(=O)=O)c1	2.398	0.165
[R]CC(=O)Nc1cccc(C)c1	1.455	-0.072
[R]Nc2ccc1CCCc1c2	2.318	-0.406
[R]N2CCC(N1CCCC1)CC2	0.333	-0.671
[R]N1C(C)CCCC1C	1.58	-0.188
[R]C1CC(=O)OC1O	-0.332	0.01
[R]C(C)c1ccc(Cl)cc1	3.222	-0.052
[R]Cc1cc(OC)cc(OC)c1	1.868	-0.104
[R]C(=O)c1ccccc1N(=O)=O	1.468	0.508
[R]c1cc(OC)c(Cl)cc1Cl	2.761	0.081
[R]C(=O)c1ccc(F)c(F)c1	1.793	0.564
[R]Oc1ccc(OC(F)(F)F)cc1	3.161	-0.02
[R]C(=O)c1ccc(N(=O)=O)o1	0.359	0.605
[R]NC(CCCN=C(N)N)C(O)=O	-1.153	-0.577
[R]C(CCCN=C(N)N)C(O)=O	-0.489	-0.055
[R]CC(N)c1ccccc1	1.509	-0.205
[R]CC(=O)Nc1ccccc1C	1.455	-0.072
[R]C(OCC)C(O)=O	0.115	0.102
[R]CC(=O)Nc1nccs1	-0.082	-0.058
[R]C(=N)c1cccs1	1.157	0.246
[R]C(C)C(=O)OC	0.518	-0.041
[R]OC1CCC1	0.78	-0.266
[R]N(C)C(=O)c1ccccc1	1.248	-0.324
[R]COc1ccccc1Cl	2.335	0.049
[R]N2CCC(c1ccccc1)=CC2	2.009	-0.645
[R]C(=O)NC(CO)c1ccccc1	0.777	0.356
[R]OCC1CC1(F)F	0.786	-0.185
[R]Nc1ccccc1Br	2.283	-0.304
[R]C(=O)Nc1cc(C)ccc1OC	1.269	0.397
[R]CCC(O)CC(O)CC(O)=O	-0.121	-0.084
[R]OCc2ccc1ccccc1c2	2.766	-0.248
[R]C(C)CCCC(C)C	3.403	-0.133
[R]NC(=O)C1CCCO1	-0.668	-0.288
[R]C(CO)C(N)=O	-1.381	-0.044
[R]Nc1ccc(Br)cn1	1.67	-0.199
[R]C(=O)NCc1ccc(CN)cc1	0.267	0.358
[R]C(F)(F)P(O)(O)=O	0.889	0.602
[R]c1cc(C)ccc1O	2.16	-0.052
[R]NC(=O)CN(C)C	-1.045	-0.296
[R]Cc1ccccc1O	2.089	-0.077
[R]NC(=O)Nc1cc(C)ccc1F	1.352	-0.259
[R]C(=O)NC1CC(=O)OC1O	-1.085	0.432
[R]NC1CC(=O)OC1O	-0.788	-0.467
[R]CC(OCC)C(O)=O	0.367	-0.049
[R]NCCCN1CCN(C)CC1	-0.497	-0.628
[R]c1nnc2ccccn12	1.107	0.284
[R]OC(=O)CC	0.367	-0.082
[R]OC(CC)CC	1.68	-0.296
[R]NC(=N)c1cccs1	0.644	-0.443
[R]CC(=O)N1CCN(C)CC1	-0.647	-0.126
[R]c1c(CC)cccc1CC	3.704	-0.065
[R]C(C(C)C)C(=O)OC	1.245	-0.052
[R]C(=O)c1ccc(C)c(C)c1	2.449	0.437
[R]C(=O)c1c(F)cccc1Cl	2.172	0.492
[R]CC(=O)NC(C)C	0.061	-0.131
[R]N(C)O	0.271	-0.62
[R]C(=S)NC(=O)c1ccccc1	1.772	0.662
[R]C1=CCNCC1	0.019	-0.085
[R]C(=O)C=Cc1ccc(Cl)cc1	2.565	0.402
[R]c2nc1ccc(F)cc1s2	2.543	0.344
[R]CNc1ccccc1	1.644	0.079
[R]NCc1ccc(F)cc1Cl	2.104	-0.588
[R]CC=CC	1.689	-0.123
[R]NCc1ccc(S(C)(=O)=O)cc1	0.592	-0.546
[R]c1ocnc1C	-0.204	0.166
[R]C1=NS(=O)(=O)c2ccccc12	1.453	0.687
[R]C(=O)N1CC(F)CC1C#N	-0.201	0.504
[R]N1CC(F)CC1C#N	0.211	-0.452
[R]CCC1CCCC1	2.568	-0.133
[R]c1cc(Cl)c(O)c(OC)c1	1.958	0.117
[R]OCc1ccc(F)cc1F	2.043	-0.177
[R]NC(CO)C(N)=O	-1.901	-0.615
[R]Nc1ccn(C)n1	0.299	-0.436
[R]C(=O)C(N)C(C)CC	1.441	0.459
[R]C(=O)NCCN1CCCC1	-0.322	0.372
[R]C(=O)N1CCN(CC)CC1	-0.237	0.361
[R]c1ccccc1I	3.235	0.045
[R]CCCCN1CCCC1	1.55	-0.114
[R]NC(=O)c2cc1ccccc1[nH]2	0.539	-0.24
[R]SCc1ccccc1Cl	2.625	-0.035
[R]C(F)(F)Cl	1.362	0.45
[R]n1ccc2ccccc12	1.476	-0.087
[R]COc1ccc(Cl)cc1Cl	2.853	0.086
[R]C(=O)Oc1ccc(F)cc1	1.844	0.584
[R]c1ccc(C(O)=O)cn1	0.763	0.298
[R]CCN(C(C)C)C(C)C	1.943	-0.128
[R]c1n[nH]c(=O)c2ccccc12	1.194	0.298
[R]c1ccnc(N)c1	0.581	0.079
[R]OC1CC1	0.383	-0.251
[R]NC(=O)Nc1cccc(OC)c1	0.493	-0.3
[R]SCC(=O)OC	-0.096	0.038
[R]OCc1ccccc1F	1.903	-0.213
[R]C(=O)NCc1ccc(F)cc1Cl	1.807	0.385
[R]S(=O)(=O)NC(C)(C)C	0.173	0.559
[R]c2ccc1n(C)ccc1c2	1.532	-0.148
[R]c1cccc(C(O)=O)n1	1.162	0.246
[R]CNC(=O)c1ccco1	-0.367	0.113
[R]NCc1ccc(S(N)(=O)=O)cc1	0.3	-0.536
[R]OCCCC(O)=O	-0.038	-0.215
[R]C(=O)OC1CCCC1	1.212	0.491
[R]c1nccc(C)n1	0.39	0.192
[R]c1cccc(C#C)c1	2.159	0
[R]S(=O)(=O)Nc1ccc(F)cn1	0.69	0.545
[R]c2ccc1nccnc1c2	1.154	0.09
[R]N3C(=O)C2C1CC(C=C1)C2C3=O	-0.04	0.04
[R]NCc1ccc(OC)c(Cl)c1	1.712	-0.599
[R]c1cccc(S(=O)(=O)N(C)C)c1	1.438	0.054
[R]C(=O)NS(=O)(=O)C1CC1	-0.562	0.562
[R]c2cn1ccccc1n2	0.971	0.049
[R]C(=O)c1ccc(OC)cc1OC	1.009	0.326
[R]Sc1ccc(F)cc1	2.152	-0.022
[R]c1ccc(C)cc1Cl	2.963	-0.011
